Designator,Mid X,Mid Y,Rotation,Layer
R42,160.6,-96.275,90.0,bottom
R43,186.925,-119.85,180.0,bottom
R44,173.75,-138.8,270.0,bottom
R45,189.425,-106.5,0.0,top
R46,166.8,-131.55,90.0,bottom
R47,169.5,-131.5,90.0,bottom
R48,144.325,-120.6,180.0,top
R49,175.225,-99.0,0.0,bottom
R5,178.8,-97.4,0.0,bottom
R50,178.8,-99.0,180.0,bottom
R51,106.68,-91.79,0.0,top
R52,115.05,-102.38,0.0,top
R53,117.27,-99.7,270.0,top
R54,109.4,-99.92,270.0,top
R55,181.245,-79.67,180.0,bottom
R56,181.245,-81.27,180.0,bottom
R57,172.85,-77.3,270.0,bottom
R58,181.225,-74.0,180.0,bottom
R59,169.825,-80.275,0.0,bottom
R6,137.425,-105.9,180.0,bottom
R60,169.825,-74.18,0.0,bottom
R61,169.825,-78.75,0.0,bottom
R62,169.825,-77.23,0.0,bottom
R63,169.825,-75.7,0.0,bottom
R64,140.883363,-89.041637,315.0,bottom
R65,142.42,-86.610002,0.0,bottom
R66,159.675,-85.93,180.0,bottom
R67,157.02,-84.585,270.0,bottom
R68,126.125,-88.475,0.0,bottom
R69,126.125,-90.025,180.0,bottom
R7,137.395,-101.83,180.0,bottom
R70,122.15,-110.15,180.0,top
R71,123.635,-111.74,180.0,top
R72,122.500009,-97.365003,0.0,bottom
R73,123.73,-95.15,0.0,bottom
R74,125.96,-92.9,180.0,bottom
R75,119.88,-68.86,180.0,top
R8,137.39,-104.0,180.0,bottom
R9,133.745,-101.84,180.0,bottom
SW1,128.81,-88.7191,90.0,top
SW2,110.95,-83.62,0.0,top
SW4,112.15,-128.05,0.0,top
SW6,112.15,-139.05,0.0,top
SW7,136.2,-145.55,0.0,top
SW8,112.91,-117.38,270.0,top
SW9,99.9,-109.25,0.0,top
U1,150.25,-100.0,0.0,top
U10,157.7,-132.75,270.0,bottom
U11,157.55,-142.45,180.0,bottom
U12,177.665,-117.425,90.0,top
U13,113.315,-98.5975,0.0,top
U14,125.12,-101.67,0.0,top
U15,129.865,-97.455,0.0,top
U16,169.87,-71.49,90.0,bottom
U17,144.865,-91.16,0.0,bottom
U18,140.302497,-84.060003,180.0,bottom
U19,159.510001,-83.549999,270.0,bottom
U2,163.137132,-119.864214,45.0,top
U20,129.459999,-87.430001,270.0,bottom
U21,121.564999,-113.959999,0.0,top
U22,121.625009,-92.275003,180.0,bottom
U23,163.75,-142.85,180.0,bottom
U24,181.15,-76.9,0.0,bottom
U25,174.325,-71.5,90.0,bottom
U3,173.95,-92.975,90.0,top
U4,134.6,-102.635,0.0,top
U5,135.275,-124.699999,180.0,top
U6,186.47715,-131.149999,180.0,top
U7,186.47285,-136.549999,180.0,top
U8,175.25,-76.95,0.0,top
U9,188.949999,-110.37285,90.0,top
Y1,135.35,-134.15,180.0,top
Y2,177.595001,-123.025,180.0,top
Y3,124.82,-106.07,0.0,top
